CSDUID,CSD,Period,IndicatorSummaryDescription,Age,Age Group,Gender,OriginalValue
4807019,Stettler County No. 6,2024,Population,76,75-79,Female,18
4807019,Stettler County No. 6,2024,Population,77,75-79,Female,20
4807019,Stettler County No. 6,2024,Population,78,75-79,Female,26
4807019,Stettler County No. 6,2024,Population,79,75-79,Female,20
4807019,Stettler County No. 6,2024,Population,75,75-79,Male,18
4807019,Stettler County No. 6,2024,Population,76,75-79,Male,28
4807019,Stettler County No. 6,2024,Population,77,75-79,Male,44
4807019,Stettler County No. 6,2024,Population,78,75-79,Male,18
4807019,Stettler County No. 6,2024,Population,79,75-79,Male,13
4807019,Stettler County No. 6,2024,Population,80,80-84,Female,18
4807019,Stettler County No. 6,2024,Population,81,80-84,Female,12
4807019,Stettler County No. 6,2024,Population,82,80-84,Female,12
4807019,Stettler County No. 6,2024,Population,83,80-84,Female,12
4807019,Stettler County No. 6,2024,Population,84,80-84,Female,5
4807019,Stettler County No. 6,2024,Population,80,80-84,Male,12
4807019,Stettler County No. 6,2024,Population,81,80-84,Male,14
4807019,Stettler County No. 6,2024,Population,82,80-84,Male,10
4807019,Stettler County No. 6,2024,Population,83,80-84,Male,11
4807019,Stettler County No. 6,2024,Population,84,80-84,Male,12
4807019,Stettler County No. 6,2024,Population,85,85-89,Female,8
4807019,Stettler County No. 6,2024,Population,86,85-89,Female,6
4807019,Stettler County No. 6,2024,Population,87,85-89,Female,3
4807019,Stettler County No. 6,2024,Population,88,85-89,Female,1
4807019,Stettler County No. 6,2024,Population,89,85-89,Female,4
4807019,Stettler County No. 6,2024,Population,85,85-89,Male,4
4807019,Stettler County No. 6,2024,Population,86,85-89,Male,3
4807019,Stettler County No. 6,2024,Population,87,85-89,Male,8
4807019,Stettler County No. 6,2024,Population,88,85-89,Male,3
4807019,Stettler County No. 6,2024,Population,89,85-89,Male,0
4807019,Stettler County No. 6,2024,Population,90+,90+,Female,9
4807019,Stettler County No. 6,2024,Population,90+,90+,Male,14
